USUARIO,CANTIDAD_SEGUIDORES,FECHA_POST,LIKES,REPLIES,RETWEETS,VISTAS,DESCRIPCION,HASHTAGS
snoopdogg,18807825,29/08/2026 02:43:04,673,64,54,309303,Arizona !!! C u tonite 🌵 🎤 @TooShort @E40 @icecube,
snoopdogg,18807825,29/08/2026 02:34:38,0,0,5,12215,RT @dogghousecasino: you heard Sexyy Red💕  https://t.co/Doe1CiZl6V to win real money prizes💰 https://t.co/KJCLYx0EsH,
snoopdogg,18807825,28/08/2026 22:18:36,305,34,41,150980,Grateful 👊🏿 Who Am I (What’s My Name)? featured in @NBA2K n tha 2kbeats soundtrack Out now 🔥🔥🔥🔥🫵🏿🫵🏿🙏🏿 https://t.co/lw6pVAdFGQ,
snoopdogg,18807825,28/08/2026 03:49:43,18530,859,1425,696052,😢 🤔 😂 https://t.co/b5kMHBemUx,
snoopdogg,18807825,27/08/2026 15:18:02,3146,427,355,469266,Hold on now!!!! I’m hiring an international ice-cream taster 😅🧊🔥🫵🏿❗️ $10K per month. U can apply from anywhere in the world. Applications open 👇🏿 https://t.co/D73g2wYy8V,
snoopdogg,18807825,27/08/2026 15:24:16,261,49,18,38827,https://t.co/z7uxooBhfz,
snoopdogg,18807825,25/08/2026 19:42:35,862,88,134,204366,I don't leave crumbs. Unless we talkin cookies. 🍪 Catch me as Dr. Cyrus Cane in HITMAN World of Assassination. The Herbalist 🌿 Elusive Target mission is out now. 🎯 Play for FREE from August 27. @hitman  https://t.co/fhcbq9OPQ1 #HITMAN #Agent47 #TheHerbalist #Snoopdogg #ad https://t.co/0O69iAGNct,"HITMAN,Agent47,TheHerbalist,Snoopdogg,ad"
snoopdogg,18807825,24/08/2026 15:25:03,10011,708,890,650025,Yes this is real. 😃 👊🏿  I’m hiring. Applications open 8.27. 🍦 https://t.co/YjyLK3oPJ4,
snoopdogg,18807825,21/08/2026 18:00:10,351,63,53,281976,San Jose c yall tonite 🎤 🔥 @icecube @E40 @TooShort,
snoopdogg,18807825,21/08/2026 16:00:54,0,0,5,12661,RT @DreAndSnoop: Try our Laid Back Lemonade for a refreshing Friday. 🥂🍋,
snoopdogg,18807825,18/08/2026 23:01:26,0,0,19,13603,"RT @OctoberTheKing: ""Body Talk"" visuals from the new album Love Me For Me OUT NOW! 👀   Watch here: https://t.co/TngU02fyld https://t.co/ken…",
snoopdogg,18807825,18/08/2026 20:26:15,201,28,26,409782,Him 🔥🔥✅‼️💯 @OctoberTheKing,
snoopdogg,18807825,15/08/2026 00:08:59,0,0,5,13731,RT @Ms_Raine: @SnoopDogg Thank you Death Row for keeping R&amp;B grown and sexy!!  I LOVE me some October London 🔥 his new joint Body Talk… htt…,
snoopdogg,18807825,14/08/2026 21:24:54,363,58,69,395945,‼️💪🏿💯,
snoopdogg,18807825,14/08/2026 05:14:20,396,40,77,178856,New album from @OctoberTheKing “Love Me For Me” out now!!!! Checcc that @deathrowrecords ✅‼️💯💪🏿 https://t.co/DnVuoH9kUG,
snoopdogg,18807825,14/08/2026 05:14:20,61,7,7,24765,https://t.co/YAUu8P6ue0,
snoopdogg,18807825,13/08/2026 02:37:46,0,0,10,13683,"RT @dogghousecasino: 🚨 LIVE TOMORROW NIGHT 🚨  @Funnymike x Dogg House Casino, streaming live from Streamer Prom on @SnoopDogg's Twitch. Don…",
snoopdogg,18807825,12/08/2026 20:50:21,454,65,72,395660,Sum smooth for ya commute today 🎵 https://t.co/BgsJPcC4bS,
snoopdogg,18807825,12/08/2026 20:40:54,0,0,44,13401,"RT @PAWPatrolMovie: Welcome to Dino Island, gang! Say hello to the cast of PAW Patrol: The Dino Movie. Don’t miss this adventure on the big…",
snoopdogg,18807825,11/08/2026 17:38:13,0,0,15,13402,RT @DJWhooKid: We live @KalvinLoves on @Shade45 on the Big 3 Mix ➡️ tune in!!! @SnoopDogg https://t.co/kD9izrhR7w,
