USUARIO,SEGUIDORES,FECHA_POST,LIKES,COMENTARIOS,VISTAS,DESCRIPCION
facebook,155000000,30/03/2026 09:00:18,12393,3871,231,My brain when I think about that one friend who always likes my status first: 🌈🐬💗✨🌸
facebook,155000000,27/03/2026 13:00:11,5766,1756,207,every Facebook DIY group member racing to the recycling bin rn 🏃‍♀️🏃‍♀️🏃‍♀️🗑️➡️👜♻️  Video by Emily Music by Dazey and the Scouts
facebook,155000000,27/03/2026 10:00:00,21665,5101,483,"Friends who always show up to the hangout with a little treat, you dropped this... 🫴👑"
facebook,155000000,30/03/2026 09:00:18,12769,3972,251,My brain when I think about that one friend who always likes my status first: 🌈🐬💗✨🌸
facebook,155000000,27/03/2026 13:00:11,5782,1759,207,every Facebook DIY group member racing to the recycling bin rn 🏃‍♀️🏃‍♀️🏃‍♀️🗑️➡️👜♻️  Video by Emily Music by Dazey and the Scouts
facebook,155000000,27/03/2026 10:00:00,21684,5103,483,"Friends who always show up to the hangout with a little treat, you dropped this... 🫴👑"
facebook,155000000,26/03/2026 10:00:00,18684,4658,636,"If the first date doesn’t have you posting love song lyrics to your feed, they don’t deserve you... 🎶"
facebook,155000000,25/03/2026 12:59:53,16066,4417,478,This is your sign to book a summer getaway with your besties  Made with Meta AI
facebook,155000000,25/03/2026 10:00:00,19027,7727,717,What is your fav “home away from home” spot right now?
facebook,155000000,24/03/2026 12:59:57,5573,1519,183,When that one Aries friend thinks of a business plan…   Video by Jess and Quinn
facebook,155000000,24/03/2026 10:00:00,22548,5377,563,Don’t talk to me until I’ve had my overshare in the group chat ✋😤
facebook,155000000,23/03/2026 10:00:00,42700,27926,1729,"If you could have dinner with one Facebook creator, who would it be?"
facebook,155000000,30/03/2026 09:00:18,12839,3992,252,My brain when I think about that one friend who always likes my status first: 🌈🐬💗✨🌸
facebook,155000000,27/03/2026 13:00:11,5791,1764,207,every Facebook DIY group member racing to the recycling bin rn 🏃‍♀️🏃‍♀️🏃‍♀️🗑️➡️👜♻️  Video by Emily Music by Dazey and the Scouts
facebook,155000000,27/03/2026 10:00:00,21685,5103,483,"Friends who always show up to the hangout with a little treat, you dropped this... 🫴👑"
facebook,155000000,26/03/2026 10:00:00,18686,4658,636,"If the first date doesn’t have you posting love song lyrics to your feed, they don’t deserve you... 🎶"
facebook,155000000,25/03/2026 12:59:53,16070,4417,479,This is your sign to book a summer getaway with your besties  Made with Meta AI
facebook,155000000,25/03/2026 10:00:00,19028,7728,717,What is your fav “home away from home” spot right now?
snoopdogg,48000000,30/03/2026 11:10:09,123,17,2,Dogg Father!
snoopdogg,48000000,29/03/2026 13:52:01,45541,1878,1340,New Album Dropping - April 10th. 10 Til Midnight
snoopdogg,48000000,27/03/2026 12:14:37,65848,1863,6656,10 Til Midnight full movie out now!! 🎥 https://youtu.be/DKIgoOVF914?si=In76trLSD-WCxrj3
snoopdogg,48000000,27/03/2026 11:39:22,32345,882,2127,Stop Counting My Poccets. Official Music Video out now https://youtu.be/iPJvKJJ1E8M
snoopdogg,48000000,27/03/2026 11:27:32,2899,264,123,‘10 Til Midnight’ the album 4.10 👊🏿🔥🔥💯💨📞  Pre-Save: deathrow.vyd.co/TenTilMidnight
snoopdogg,48000000,26/03/2026 19:43:32,1508,329,56,We goin live later 2nite!!! Premiering my 10 Til Midnight movie Twitch
facebook,155000000,24/03/2026 12:59:57,5575,1520,183,When that one Aries friend thinks of a business plan…   Video by Jess and Quinn
facebook,155000000,24/03/2026 10:00:00,22549,5379,563,Don’t talk to me until I’ve had my overshare in the group chat ✋😤
facebook,155000000,23/03/2026 10:00:00,42700,27926,1729,"If you could have dinner with one Facebook creator, who would it be?"
