USUARIO,SEGUIDORES,CORAZONES_TOTALES,FECHA_POST,LIKES_VIDEO,VISTAS,DESCRIPCION
ibaillanos,27500000,1400000000,29/03/2026 10:00:57,163618,1597771,Cristiano Ronaldo cree que Edu Aguirre ganará a Gastón Edul.
ibaillanos,27500000,1400000000,28/03/2026 09:03:46,1858536,12788160,70 kilos menos pero la misma calidad.
ibaillanos,27500000,1400000000,27/03/2026 08:56:50,442351,4352687,¿Vendrá Cristiano Ronaldo a la Velada del Año VI?
ibaillanos,27500000,1400000000,25/03/2026 11:04:03,1300142,9523555,Rivers vs RoRo ¿Quién hace más flexiones?
ibaillanos,27500000,1400000000,24/03/2026 11:07:43,478285,4267489,Viruzz vs Gero Arias ¿Quién pega más fuerte?
ibaillanos,27500000,1400000000,23/03/2026 12:23:52,464064,3791453,"¿Cuánto hago en la máquina de boxeo? #publiHack Nos vemos el miércoles 25 en Madrid, Plaza Principe Pio a las 18:30"
ibaillanos,27500000,1400000000,22/03/2026 11:17:47,368905,2570270,Mañana empieza la mejor serie de Minecraft de la historia.
ibaillanos,27500000,1400000000,21/03/2026 11:00:51,542954,5648048,Fernanfloo vs Plex ¿Quién hace más flexiones?
ibaillanos,27500000,1400000000,20/03/2026 11:12:58,460769,3991080,"El que tenga el móvil más viejo, se lleva un iPhone. Publi."
ibaillanos,27500000,1400000000,19/03/2026 13:20:27,218401,2177028,Preparaos @Sidemen Voy a por vosotros. 
ibaillanos,27500000,1400000000,18/03/2026 10:57:25,313639,2933575,Viruzz vs Gero Arias ¿Quién hace más flexiones?
ibaillanos,27500000,1400000000,17/03/2026 11:05:22,633905,4732752,Rivers y RoRo vuelven a la Velada del Año. 
ibaillanos,27500000,1400000000,16/03/2026 10:58:06,1787904,17176445,Fernanfloo vs Plex ¿Quién pega más fuerte?
ibaillanos,27500000,1400000000,15/03/2026 10:59:10,688614,6786291,Edu Aguirre vs Gastón Edul ¿Quién pega más fuerte?
ibaillanos,27500000,1400000000,14/03/2026 09:02:02,494048,5324985,Illojuan vs Grefg ¿Quién pega más fuerte?
ibaillanos,27500000,1400000000,13/03/2026 10:53:54,637164,5485326,Grefg vs Illojuan ¿Quién hace más flexiones?
ibaillanos,27500000,1400000000,12/03/2026 10:56:25,1914183,16585434,Rivers vs RoRo ¿Quién pega más fuerte?
ibaillanos,27500000,1400000000,11/03/2026 16:05:50,743743,7236367,Fernanfloo y Plex vuelven a la Velada del Año.
ibaillanos,27500000,1400000000,11/03/2026 11:17:17,1551016,13729957,Lit Killah vs Kidd Keo ¿Quién pega más fuerte?
ibaillanos,27500000,1400000000,10/03/2026 15:50:48,290649,2769005,Grefg vs Illojuan: Esto decía Juan hace un año.
ibaillanos,27500000,1400000000,10/03/2026 11:09:17,1289378,11536456,Fernanfloo ha sido padre.
ibaillanos,27500000,1400000000,09/03/2026 16:05:27,1668857,15618859,"Velada del Año VI. 25 de julio. En la Cartuja, Sevilla."
ibaillanos,27500000,1400000000,09/03/2026 15:53:20,355469,4846798,Décimo combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 15:22:29,665565,6771598,Noveno combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 15:01:37,221417,3668395,Octavo combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 14:42:55,511372,5261721,Séptimo combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 14:23:37,222539,4059405,Sexto combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 14:04:46,705864,6372300,Quinto combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 13:44:04,257166,3603833,Cuarto combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 13:20:32,151135,2845583,Tercer combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 12:57:37,132976,2740284,Segundo combate de la Velada del Año VI
ibaillanos,27500000,1400000000,09/03/2026 12:37:20,217805,3389668,Primer combate de la Velada del Año VI
ibaillanos,27500000,1400000000,08/03/2026 10:26:17,953913,11579030,Último spoiler de la Velada del Año VI. Mañana la presentación.
snoopdogg,29500000,182200000,27/03/2026 13:32:48,1850,52656,Stop Counting My Poccets @DJ WHOO KID 
snoopdogg,29500000,182200000,27/03/2026 12:13:05,23646,274493,10 Til Midnight full movie out on my YouTube now!! 🎥 🍿 
snoopdogg,29500000,182200000,26/03/2026 14:06:44,784,22501,We up!! Ten Til Midnight @DJ WHOO KID 
snoopdogg,29500000,182200000,23/03/2026 15:19:32,3508,79115,Miami we out here 🌴 @Cali by Snoop 🍷 
snoopdogg,29500000,182200000,20/03/2026 13:49:33,3702,84831,"LA, look up 👀 📍Melrose x La Jolla @Cali by Snoop 🍷 "
snoopdogg,29500000,182200000,20/03/2026 10:53:22,7600,87509,"Tune into my podcast! Fun, laughter, n some album BTS. On my YouTube in 20 mins "
snoopdogg,29500000,182200000,19/03/2026 12:47:35,2207,51854,From tha barrel 2 tha blocc @Cali by Snoop 🍷 
snoopdogg,29500000,182200000,13/03/2026 14:55:51,72332,569076,Listen up!!! 🔥👏🏿 ⏰ 
snoopdogg,29500000,182200000,13/03/2026 12:37:53,2327,73704,Healer 👊🏿☀️🙏🏿 by @Jeremy Beloate wit @Death Row Records single out now 🎥🌙
snoopdogg,29500000,182200000,12/03/2026 17:15:30,4576,93043,👀☀️ 🍦 @Dr. Bombay 
snoopdogg,29500000,182200000,08/03/2026 14:05:07,10969,155275,30 years later and it’s still a gangsta party. Dropping March 10th. Y’all ready?
snoopdogg,29500000,182200000,06/03/2026 11:27:49,1962,44739,"Snoop Dogg = The Ultimate #WinterParalympics hype man. 👏 📺: The Paralympics Opening Ceremony, Friday 1:30pm ET on Peacock and USA Network #wintersports #snoopdogg #snoop "
snoopdogg,29500000,182200000,05/03/2026 16:53:32,2086,66437,We live n direct!! @Official Rap Snacks in Costco today!! U go yet ?? @Costco Wholesale 
snoopdogg,29500000,182200000,04/03/2026 02:06:31,7633,141026,Let’s go. !! @Official Rap Snacks we live jaccc!! 🥔 
snoopdogg,29500000,182200000,26/02/2026 11:23:46,5002,170247,Just playin around 😅🤔❄️  Credit: therealdahdah
snoopdogg,29500000,182200000,26/02/2026 11:15:58,22878,297838,Swansea !!! Thank u!!! @Swansea City AFC  📸 @itswowkoby 
snoopdogg,29500000,182200000,24/02/2026 17:48:46,49543,567765,"Good night, Jack Army! 🐾 #SnoopDogg #SwanseaCity "
snoopdogg,29500000,182200000,23/02/2026 11:52:33,40361,486438,The Dogg is in town 🐾 @Snoop Dogg 
snoopdogg,29500000,182200000,22/02/2026 22:35:47,68646,455361,Well this was fun!!! 🥇 @NBC Olympics & Paralympics  c yall later 
snoopdogg,29500000,182200000,22/02/2026 22:30:04,9187,125053,Thank you!!! @Team USA 🇺🇸 
snoopdogg,29500000,182200000,19/02/2026 20:32:35,164726,1777817,Somebody get Snoop on the ice. 😂 #WinterOlympics 
snoopdogg,29500000,182200000,18/02/2026 14:21:31,15780,274809,Buon appetito🍦🇮🇹 #winterolympics
