USUARIO,SEGUIDORES,CORAZONES_TOTALES,FECHA_POST,LIKES_VIDEO,VISTAS,DESCRIPCION,HASHTAGS
wizkhalifa,7900000,66000000,21/05/2026 10:00:00,22550,640237,Kicking off cookout season with my Mama Peachie and @Lawry’s Seasoning #MamaSaidLawrys #LawrysPartner #asmr #tiktokfood,"MamaSaidLawrys,LawrysPartner,asmr,tiktokfood"
wizkhalifa,7900000,66000000,13/05/2026 15:20:45,167997,1420897,🎥 Music Video 🎥 for my and @mgk’s new song Girl Next Door is out now ☀️ make sure you come see us on tour ☀️,
wizkhalifa,7900000,66000000,10/04/2026 13:28:53,179943,1594857,I think I got it this time 😬 #taylorgang #breathe,"taylorgang,breathe"
wizkhalifa,7900000,66000000,09/04/2026 19:30:16,111208,1269180,Time well spent #TaylorGang #Breathe ,"TaylorGang,Breathe"
wizkhalifa,7900000,66000000,06/04/2026 11:12:51,394819,6348030,"Isn’t always important. I like to focus on what makes us the same. We all want to be loved, cared for and nurtured so we can all grow. Start looking at similarities instead of differences and watch life become more beautiful. I believe in you and I love you #taylorgang #breathe ","taylorgang,breathe"
wizkhalifa,7900000,66000000,02/04/2026 12:52:43,179779,2529486,"You’re allowing yourself to grow. Give up on bad habits, relationships that don’t serve you, or give up control. Either way don’t hold on so tight. I believe in you #taylorgang #breathe ","taylorgang,breathe"
wizkhalifa,7900000,66000000,30/03/2026 14:19:36,667235,9872180,It doesn’t exist. If there was such thing as perfect timing it would be right now. Make mistakes and learn from them. If you aren’t afraid to fail you’ll never succeed. I believe in you and I love you #TaylorGang #Breathe ,"TaylorGang,Breathe"
wizkhalifa,7900000,66000000,26/01/2026 17:50:10,65886,1292010,We enjoy our leg days ,
wizkhalifa,7900000,66000000,18/01/2026 00:33:28,67639,1086045,RN Check,
wizkhalifa,7900000,66000000,22/10/2025 00:54:22,246271,3953991,Just got to my hotel in Bali and it’s nice af. ,
wizkhalifa,7900000,66000000,22/10/2025 00:22:09,59622,1670044,Private plane to Bali lookin nice ,
wizkhalifa,7900000,66000000,20/10/2025 23:11:42,44355,1334802,Quick flex in the airport in Australia ,
wizkhalifa,7900000,66000000,06/10/2025 12:47:30,2147638,15415126,Been a while since i got another one. ,
wizkhalifa,7900000,66000000,04/10/2025 19:18:38,37520,1077240,Thanks Logan for the gift.  ,
wizkhalifa,7900000,66000000,02/10/2025 23:01:22,17882,922668,Rams game was brutal but Todd is my guy so it’s all good,
wizkhalifa,7900000,66000000,30/09/2025 15:13:17,126843,1901288,Serious question ,
wizkhalifa,7900000,66000000,24/09/2025 17:48:53,98582,1339723,Im up 3 iPhones ,
wizkhalifa,7900000,66000000,24/09/2025 10:35:56,55085,888993,I didn’t even notice. ,
wizkhalifa,7900000,66000000,23/09/2025 11:28:58,113097,1437641,Whooptie doo ,
wizkhalifa,7900000,66000000,22/09/2025 21:14:02,28503,675103,I give good advice ,
wizkhalifa,7900000,66000000,22/09/2025 01:53:26,86293,1253618,Meeting wit @50 Cent for breakfast to talk about our new movie. ,
wizkhalifa,7900000,66000000,20/09/2025 15:26:55,47844,638426,A very good t shirt that i just acquired. ,
wizkhalifa,7900000,66000000,16/09/2025 12:06:58,109219,1682244,I just got my hair done ,
wizkhalifa,7900000,66000000,14/09/2025 16:10:38,246828,3404848,Hot tub to the sauna ,
wizkhalifa,7900000,66000000,14/09/2025 05:31:30,123943,1583389,Im a beast ,
wizkhalifa,7900000,66000000,13/09/2025 19:53:20,145931,2022850,My house for the day ,
wizkhalifa,7900000,66000000,13/09/2025 14:54:41,249780,4132412,Perfect for the flight ,
wizkhalifa,7900000,66000000,13/09/2025 00:57:14,1761415,10223154,Real what? ,
wizkhalifa,7900000,66000000,10/09/2025 16:14:02,45295,825601,I love you guys ,
wizkhalifa,7900000,66000000,07/09/2025 12:56:01,166832,1681687,Ridin spinners ,
wizkhalifa,7900000,66000000,06/09/2025 20:15:51,168281,1940558,Kickin off my birthday weekend ,
wizkhalifa,7900000,66000000,05/09/2025 15:41:35,790131,9597731,Did it go in? ,
wizkhalifa,7900000,66000000,13/07/2025 11:24:55,750779,8239025,Out here aura farming. Good vibes only,
